id,name_ru,name_kaz,region,population,priority
1,Алматы,Алматы,,1854556,2
2,Нур-Султан,Нұр-Сұлтан,,1078362,2
3,Шымкент,Шымкент,,1011511,2
4,Караганда,Қарағанды,Карагандинская,497767,1
5,Актобе,Ақтөбе,Актюбинская,429462,1
6,Тараз,Тараз,Жамбылская,357528,1
7,Павлодар,Павлодар,Павлодарская,333818,1
8,Усть-Каменогорск,Өскемен,Восточно-Казахстанская,331597,1
9,Уральск,Орал,Западно-Казахстанская,330356,1
10,Семей,Семей,Восточно-Казахстанская,323199,1
11,Атырау,Атырау,Атырауская,269704,1
12,Костанай,Қостанай,Костанайская,242997,1
13,Кызылорда,Қызылорда,Кызылординская,239167,1
14,Петропавловск,Петропавл,Северо-Казахстанская,218056,1
15,Актау,Ақтау,Мангистауская,183006,1
16,Темиртау,Теміртау,Карагандинская,179234,1
17,Туркестан,Түркістан,Туркестанская,164963,1
18,Талдыкорган,Талдықорған,Алматинская,145365,1
19,Кокшетау,Көкшетау,Акмолинская,145156,1
20,Экибастуз,Екібастұз,Павлодарская,133942,1
21,Рудный,Рудный,Костанайская,115313,1
22,Жезказган,Жезқазған,Карагандинская,87192,1
23,Жанаозен,Жаңаөзен,Мангистауская,81545,1
24,Балхаш,Балқаш,Карагандинская,72885,1
25,Кентау,Кентау,Туркестанская,68954,1
26,Каскелен,Қаскелең,Алматинская,64517,0
27,Сатпаев,Сәтбаев,Карагандинская,61521,1
28,Кульсары,Құлсары,Атырауская,60472,0
29,Риддер,Риддер,Восточно-Казахстанская,47998,1
30,Щучинск,Щучинск,Акмолинская,46807,0
31,Степногорск,Степногор,Акмолинская,45919,1
32,Капшагай,Қапшағай,Алматинская,45522,1
33,Арыс,Арыс,Туркестанская,44388,1
34,Сарань,Саран,Карагандинская,43291,1
35,Талгар,Талғар,Алматинская,42871,0
36,Жаркент,Жаркент,Алматинская,42597,0
37,Аксу,Ақсу,Павлодарская,41639,1
38,Байконур (Байконыр),Байқоңыр,Кызылординская,39108,1
39,Аягоз,Аягөз,Восточно-Казахстанская,38536,0
40,Шахтинск,Шахтинск,Карагандинская,37645,1
41,Шу,Шу,Жамбылская,36656,0
42,Алтай,Алтай,Восточно-Казахстанская,36116,0
43,Лисаковск,Лисаков,Костанайская,36008,1
44,Кандыагаш,Қандыағаш,Актюбинская,35626,0
45,Аксай,Ақсай,Западно-Казахстанская,35310,0
46,Житикара,Жітіқара,Костанайская,34736,0
47,Аральск,Арал,Кызылординская,33139,0
48,Есик,Есік,Алматинская,33024,0
49,Сарыагаш,Сарыағаш,Туркестанская,32998,0
50,Текели,Текелі,Алматинская,31957,1
51,Каратау,Қаратау,Жамбылская,30214,0
52,Атбасар,Атбасар,Акмолинская,28753,0
53,Шардара,Шардара,Туркестанская,28415,0
54,Абай,Абай,Карагандинская,28365,0
55,Аркалык,Арқалық,Костанайская,28249,1
56,Шалкар,Шалқар,Актюбинская,27953,0
57,Хромтау,Хромтау,Актюбинская,26737,0
58,Ленгер,Леңгір,Туркестанская,24025,0
59,Жетысай,Жетісай,Туркестанская,23862,0
60,Уштобе,Үштөбе,Алматинская,22981,0
61,Жанатас,Жаңатас,Жамбылская,22383,0
62,Алга,Алға,Актюбинская,20432,0
63,Шемонаиха,Шемонайха,Восточно-Казахстанская,18214,0
64,Макинск,Макинск,Акмолинская,17785,0
65,Ушарал,Үшарал,Алматинская,17183,0
66,Зайсан,Зайсан,Восточно-Казахстанская,16253,0
67,Акколь,Ақкөл,Акмолинская,13676,0
68,Приозёрск,Приозер,Карагандинская,13332,1
69,Курчатов,Курчатов,Восточно-Казахстанская,12411,1
70,Эмба,Ембі,Актюбинская,11811,0
71,Тайынша,Тайынша,Северо-Казахстанская,11435,0
72,Сарканд,Сарқант,Алматинская,11362,0
73,Есиль,Есіл,Акмолинская,10545,0
74,Ерейментау,Ерейментау,Акмолинская,9130,0
75,Серебрянск,Серебрянск,Восточно-Казахстанская,8429,0
76,Каркаралинск,Қарқаралы,Карагандинская,8185,0
77,Каражал,Қаражал,Карагандинская,8086,1
78,Булаево,Булаев,Северо-Казахстанская,7742,0
79,Сергеевка,Сергеев,Северо-Казахстанская,7686,0
80,Мамлютка,Мамлют,Северо-Казахстанская,6866,0
81,Шар,Шар,Восточно-Казахстанская,6780,0
82,Форт-Шевченко,Форт-Шевченко,Мангистауская,6371,0
83,Державинск,Державин,Акмолинская,6022,0
84,Казалинск,Қазалы,Кызылординская,5776,0
85,Степняк,Степняк,Акмолинская,3510,0
86,Темир,Темір,Актюбинская,2159,0
87,Жем,Жем,Актюбинская,1771,0
