name,parent,choice,multiple,choice_id
Ксеноновые/Биксеноновые,Обзор,Фары,FALSE,
Лазерные,Обзор,Фары,FALSE,
Светодиодные,Обзор,Фары,FALSE,
Зоны стеклоочистителей,Обзор,Электрообогрев,TRUE,1
Лобового стекла,Обзор,Электрообогрев,TRUE,1
Форсунок стеклоомывателей,Обзор,Электрообогрев,TRUE,1
Боковых зеркал,Обзор,Электрообогрев,TRUE,1
Дневные ходовые огни,Обзор,None,None,
Противотуманные фары,Обзор,None,None,
Автоматический корректор фар,Обзор,None,None,
Омыватель фар,Обзор,None,None,
Система адаптивного освещения,Обзор,None,None,
Система управления дальним светом,Обзор,None,None,
Датчик дождя,Обзор,None,None,
Датчик света,Обзор,None,None,
Сигнализация,Защита от угона,Сигнализация,FALSE,
Сигнализация с обратной связью,Защита от угона,Сигнализация,FALSE,
Центральный замок,Защита от угона,None,None,
Иммобилайзер,Защита от угона,None,None,
Датчик проникновения в салон (датчик объема),Защита от угона,None,None,
Количество мест: 2,Салон,Количество мест,FALSE,
Количество мест: 4,Салон,Количество мест,FALSE,
Количество мест: 5,Салон,Количество мест,FALSE,
Количество мест: 6,Салон,Количество мест,FALSE,
Количество мест: 7,Салон,Количество мест,FALSE,
Количество мест: 8,Салон,Количество мест,FALSE,
Количество мест: 9,Салон,Количество мест,FALSE,
Ткань,Салон,Материал салона,FALSE,
Велюр,Салон,Материал салона,FALSE,
Комбинированный,Салон,Материал салона,FALSE,
Искусственная кожа,Салон,Материал салона,FALSE,
Алькантара,Салон,Материал салона,FALSE,
Кожа,Салон,Материал салона,FALSE,
Светлый,Салон,Цвет салона,FALSE,
Тёмный,Салон,Цвет салона,FALSE,
Сиденья водителя,Салон,Регулировка сидений по высоте,FALSE,
Передних сидений,Салон,Регулировка сидений по высоте,FALSE,
Сиденья водителя,Салон,Электрорегулировка сидений,TRUE,2
Передних сидений,Салон,Электрорегулировка сидений,TRUE,2
Задних сидений,Салон,Электрорегулировка сидений,TRUE,2
Сиденья водителя,Салон,Память положения сидений,FALSE,
Передних сидений,Салон,Память положения сидений,FALSE,
Подогрев сидений,Салон,Подогрев сидений,TRUE,3
Задних сидений,Салон,Подогрев сидений,TRUE,3
Передних сидений,Салон,Вентиляция сидений,TRUE,4
Задних сидений,Салон,Вентиляция сидений,TRUE,4
Спортивные передние сиденья,Салон,None,None,
Сиденья с массажем,Салон,None,None,
Обогрев рулевого колеса,Салон,None,None,
Отделка кожей рулевого колеса,Салон,None,None,
Отделка кожей рычага КПП,Салон,None,None,
Люк,Салон,None,None,
Панорамная крыша / лобовое стекло,Салон,None,None,
Отделка потолка чёрной тканью,Салон,None,None,
Передний центральный подлокотник,Салон,None,None,
Третий задний подголовник,Салон,None,None,
Третий ряд сидений,Салон,None,None,
Складывающееся заднее сиденье,Салон,None,None,
Функция складывания спинки сиденья пассажира,Салон,None,None,
Складной столик на спинках передних сидений,Салон,None,None,
Тонированные стекла,Салон,None,None,
Солнцезащитные шторки в задних дверях,Салон,None,None,
Солнцезащитная шторка на заднем стекле,Салон,None,None,
Декоративная подсветка салона,Салон,None,None,
Декоративные накладки на педали,Салон,None,None,
Накладки на пороги,Салон,None,None,
Активная,Прочее,Подвеска,TRUE,5
Спортивная,Прочее,Подвеска,TRUE,5
Пневмоподвеска,Прочее,Подвеска,TRUE,5
Полноразмерное,Прочее,Запасное колесо,FALSE,
Докатка,Прочее,Запасное колесо,FALSE,
Фаркоп,Прочее,None,None,
Защита картера,Прочее,None,None,
Стальные диски,Элементы экстерьера,Тип дисков,FALSE,
Легкосплавные,Элементы экстерьера,Тип дисков,FALSE,
"Диски 12""",Элементы экстерьера,Размер дисков,FALSE,
"Диски 13""",Элементы экстерьера,Размер дисков,FALSE,
"Диски 14""",Элементы экстерьера,Размер дисков,FALSE,
"Диски 15""",Элементы экстерьера,Размер дисков,FALSE,
"Диски 16""",Элементы экстерьера,Размер дисков,FALSE,
"Диски 17""",Элементы экстерьера,Размер дисков,FALSE,
"Диски 18""",Элементы экстерьера,Размер дисков,FALSE,
